INSERT INTO Gioco(ID_Gioco, CF_Giocatore, Importo, Vincita , Data_Giocata ,Numero_Scommesso, Colore_Scommesso  ) VALUES 
( "EMB7SMHBOM" ,  TLNYEGIAXYAA8UGJ ,  " " ),
( "3ITV5UV0FV" ,  G2YR2QHVM9YG2AVZ ,  " " ),
( "9RPLTGK9GD" ,  YIE66HFMP9584GRW ,  " " ),
( "NOXX36AZ44" ,  NYVXZY3LEARPUT27 ,  " " ),
( "PY90065LJ9" ,  LIWTH1AHGYDJASYC ,  " " ),
( "G49H3MFLZJ" ,  3RLAJGRDH8YUEEUI ,  " " ),
( "X113MLWP5O" ,  2CTKC5MPQVQX5FXB ,  " " ),
( "T2F8Q8LXQ9" ,  Z59B8YYWW6C0OBB6 ,  " " ),
( "GO211KMTPV" ,  RECLZ2SR95HRX5O4 ,  " " ),
( "G3LP8KD40P" ,  FYXP2JGVL57XT0BH ,  " " ),
( "P1EKNW0OFA" ,  C09KREM57P264FN1 ,  " " ),
( "WQBSEID5PK" ,  IXA8PKZULFB26JPH ,  " " ),
( "G0M1FKV6VS" ,  8Y1KRMBK47A989WN ,  " " ),
( "IJ3C54LHU9" ,  0THNKDM4FMWBL9F4 ,  " " ),
( "I0RWE0YW2F" ,  LZ361NAOHRKECFVE ,  " " ),
( "KZ7N56RQPR" ,  7OI0FG01OI2C25NN ,  " " ),
( "ARB33P1SSK" ,  XEPYU8XR6ESFD97W ,  " " ),
( "EQTJ34601W" ,  YUM12IZHN5W4FCAX ,  " " ),
( "N773BOLUWV" ,  SJA6B4V4WPJFHY65 ,  " " ),
( "G9MPZ7NH9H" ,  N3GX5S0JXKW7IF8D ,  " " ),
( "U5GJSM11MW" ,  51TNZTG0UV1OENZA ,  " " ),
( "3CSYBYYD8V" ,  6WIT4EPP6Q3OGORZ ,  " " ),
( "BLWIDVEQ6J" ,  7OI0FG01OI2C25NN ,  " " ),
( "N1RYIGU2O5" ,  IQH6X58MJYDXRGJC ,  " " ),
( "NFQPSS96ZL" ,  STIF389PUU44E4PN ,  " " ),
( "MFG8SS0D90" ,  027IIGYLTFLKS9I7 ,  " " ),
( "V50VOEUO3S" ,  TNTJRY0Y6QVDYJIO ,  " " ),
( "NT4X9DCG12" ,  187I5CH7860O9YMZ ,  " " ),
( "1JYTKCDWYR" ,  60BSNS5IWERIITJH ,  " " ),
( "786WNRR8YD" ,  4TY9213OPE5D4OOZ ,  " " ),
( "A5DQMB2CQW" ,  JVPXU0X5Y9GGLQS4 ,  " " ),
( "3D8RXVRL4A" ,  5FM392QUR4F68FWY ,  " " ),
( "T72891RTM6" ,  IQH6X58MJYDXRGJC ,  " " ),
( "DX94K86K8T" ,  25BR6IBFS3FRMKL9 ,  " " ),
( "48652ULYHT" ,  Y8F98XGWYWKODAFA ,  " " ),
( "5KMBZ15KYR" ,  C6MO28NFSYJLWRT7 ,  " " ),
( "ZCEA2EZNM7" ,  6PWA5PI0PTB33O8I ,  " " ),
( "6K1OFZSDRB" ,  D1PSIM3H71I7YE8L ,  " " ),
( "2LLZACFK57" ,  NC0YMG8ZOM5URBXG ,  " " ),
( "8JHK4ZQNLE" ,  CF1I55DSUYXIW389 ,  " " ),
( "W9HPGQL19G" ,  B5F2LZLGB7VQ1OBR ,  " " ),
( "OUE45ID51E" ,  J611D1VJ11NQ4BUD ,  " " ),
( "MCK3KVDL11" ,  T1HWKCMUUEHOHCVX ,  " " ),
( "4ODALM8QE7" ,  3LC9MOMBUYMARBUW ,  " " ),
( "N44H6N65Z7" ,  AIH7IX7NGTSE3YGE ,  " " ),
( "3PF6QKM4OP" ,  6MV4QNV44HZU0KTW ,  " " ),
( "654XVRLPAT" ,  LL9FNXQYJO21UL0W ,  " " ),
( "JJF4GFVB1M" ,  51TNZTG0UV1OENZA ,  " " ),
( "D554HE9POX" ,  ETV9UZDIU5NS2HKU ,  " " ),
( "6VAH1D1Y2O" ,  R3RBJATNUTJ4D55X ,  " " ),
( "N80T6QAK1J" ,  LZ361NAOHRKECFVE ,  " " ),
( "SPX8W4MPXQ" ,  PHABFXZOP35B4CI3 ,  " " ),
( "K2IIAPI0Y2" ,  SXOOKYS5AXVYAGQ3 ,  " " ),
( "3H9RTW0YZ6" ,  OV4OA5XJORGS9RQ6 ,  " " ),
( "CK2A05DTT2" ,  2SB2FBQS42BOO9HQ ,  " " ),
( "67UOEBBOPH" ,  TAQ2H7RG7N5U8WWO ,  " " ),
( "D14LFVN4DN" ,  PBJSRW7T3PVS08DZ ,  " " ),
( "3URYU87D94" ,  N92ER6XB5A5L365A ,  " " ),
( "ANJCGAYKK5" ,  ATP9ROGPQO08N9DT ,  " " ),
( "VG5V61MG1D" ,  OV4OA5XJORGS9RQ6 ,  " " ),
( "0D9ZZQMY3T" ,  G8M50IU4VP5DOE6K ,  " " ),
( "6QTH9WTSC3" ,  Q87QIZIW3PHRR293 ,  " " ),
( "T3RJ5ESOLW" ,  YU00405GM0NYV8XI ,  " " ),
( "E6G1KDWDDU" ,  EA6FLYMXXZ8GT9L7 ,  " " ),
( "PBWDNUUGVV" ,  DI2VQMUZLF3B6PWX ,  " " ),
( "6MLTN17RVR" ,  4TD9G0KLJ0RWS1F9 ,  " " ),
( "OIXJX3ABOG" ,  0XXXOZ589YS2FKDL ,  " " ),
( "3RHYG542FZ" ,  4TD9G0KLJ0RWS1F9 ,  " " ),
( "NPOZHI2ZLY" ,  BDOX8U1KGXCKYGJ2 ,  " " ),
( "XE8WD7ZAYZ" ,  SXOOKYS5AXVYAGQ3 ,  " " ),
( "OW7KBZ7H9R" ,  4CRMB63P1PI9TE4E ,  " " ),
( "MHH4B7DZTV" ,  E65Y78CX9B3QEGXX ,  " " ),
( "6CXOJFTLIP" ,  T0H5FUWXTUFLA1OP ,  " " ),
( "GUDAM5MTXG" ,  58OKLSZ8U15DFBL8 ,  " " ),
( "WO1O7MVSSO" ,  AJVR3H113LCABV5I ,  " " ),
( "ASE58DBYU2" ,  3RLAJGRDH8YUEEUI ,  " " ),
( "VJBF2XUDR6" ,  N92ER6XB5A5L365A ,  " " ),
( "C9GMCTQWOQ" ,  AIH7IX7NGTSE3YGE ,  " " ),
( "GFLCPNT95U" ,  OGTIETKDDQYSZAGI ,  " " ),
( "5JFRKXFI0C" ,  6PWA5PI0PTB33O8I ,  " " ),
( "7I3FXR5EAQ" ,  RN7USGDO12SG40UP ,  " " ),
( "B8W55P8ZZC" ,  91CC6KOLEWWMHFPB ,  " " ),
( "Y6V5GAGRGL" ,  YCX6X6NDN8850K5H ,  " " ),
( "FNQ6HBTOWS" ,  YUM12IZHN5W4FCAX ,  " " ),
( "XVB84DP2RH" ,  Q786E7KMJKVEVIYI ,  " " ),
( "X69Z21UG3L" ,  JVPXU0X5Y9GGLQS4 ,  " " ),
( "7J3C4DIN16" ,  ZDPT2MEEQKXI9ERY ,  " " ),
( "UYAAD31ALO" ,  MM3KKLSJDL3L5STJ ,  " " ),
( "6C83N9PO1P" ,  B5F2LZLGB7VQ1OBR ,  " " ),
( "YIBW5CJHRD" ,  DOG4B14X53R0RSHM ,  " " ),
( "DB1P62GCUD" ,  8Y1KRMBK47A989WN ,  " " ),
( "1GYI39BNYG" ,  LC4PXEXRL9SY4U4S ,  " " ),
( "MEKUPJZ58I" ,  GZ7XGOGG1BUC7NYI ,  " " ),
( "O2Z6B4P1TY" ,  7ZQYQ0KSW8Y3CPGF ,  " " ),
( "318AWYD27G" ,  YIE66HFMP9584GRW ,  " " ),
( "1EY7WVSN6J" ,  C09KREM57P264FN1 ,  " " ),
( "FOQSPLGPU3" ,  0VEES18MQY6Q2FJP ,  " " ),
( "WZR1N0FR7N" ,  5GJCL0KY0MMJDG7Y ,  " " ),
( "0IXPH10CXP" ,  E65Y78CX9B3QEGXX ,  " " ),
( "N7UR0AT9EK" ,  EAXSYCSQPY8JBXMC ,  " " ),
( "DO5E0HB36L" ,  0VEES18MQY6Q2FJP ,  " " ),
( "G8245G8040" ,  ZPCX5NDK45K7HHWC ,  " " ),
( "8IAQIB1V08" ,  AZHL4HV9Z6G5PL33 ,  " " ),
( "037CBDU5WS" ,  5GJCL0KY0MMJDG7Y ,  " " ),
( "LQ6S84RKQL" ,  7ZQYQ0KSW8Y3CPGF ,  " " ),
( "UMW83AQSJX" ,  C3DPSJ8LZZN8WGJE ,  " " ),
( "470K0M5J91" ,  FQBHRTIVBYKJLC6F ,  " " ),
( "6Z07GFEFJJ" ,  ESJP4TN87CPRKV9K ,  " " ),
( "1Y6YF6YZ7P" ,  EA6FLYMXXZ8GT9L7 ,  " " ),
( "24FKVXPDIX" ,  C09KREM57P264FN1 ,  " " ),
( "VB9FPMVTED" ,  M90B3R176QYXPGLK ,  " " ),
( "TNOQ66UTQ0" ,  EA6FLYMXXZ8GT9L7 ,  " " ),
( "1MMVXUHW9C" ,  ETV9UZDIU5NS2HKU ,  " " ),
( "LDQSG8RZZ2" ,  STIF389PUU44E4PN ,  " " ),
( "PJTGBMVLZI" ,  PMQ0ZJKBYUAIKF6K ,  " " ),
( "4S7ELB9F6S" ,  PMQ0ZJKBYUAIKF6K ,  " " ),
( "J9B3HJJR2N" ,  5IE0O6XPB2RNQHUY ,  " " ),
( "F4UJN5INM8" ,  51TNZTG0UV1OENZA ,  " " ),
( "8K2HDKX80R" ,  Q7320A3R7A6XK1YT ,  " " ),
( "93OM659MTO" ,  J611D1VJ11NQ4BUD ,  " " ),
( "AIZ4WC5SNS" ,  Q7320A3R7A6XK1YT ,  " " ),
( "2D42BVTEXD" ,  ZPCX5NDK45K7HHWC ,  " " ),
( "UU3EYT6B5W" ,  D1PSIM3H71I7YE8L ,  " " ),
( "Y72K9RZZ51" ,  GZ7XGOGG1BUC7NYI ,  " " ),
( "Y2EPMYKF00" ,  IGL0UF0QLT73VW5P ,  " " ),
( "YIVK8Q6CDS" ,  1GTYVFXJPZMU4BNN ,  " " ),
( "HXZ6XBBEG8" ,  Q87QIZIW3PHRR293 ,  " " ),
( "8D0SBMRMUR" ,  VK2SGEFJH1RT0V2P ,  " " ),
( "ATIZEGCXMD" ,  3RLAJGRDH8YUEEUI ,  " " ),
( "9B60NEGCQM" ,  MAZRQWOPPVF90F8F ,  " " ),
( "HTBTXEYIU8" ,  YUM12IZHN5W4FCAX ,  " " ),
( "AUZK939RCJ" ,  4TDZYJBIQYBXYACM ,  " " ),
( "3XKJZNV28T" ,  Q786E7KMJKVEVIYI ,  " " ),
( "5AUP6WESJU" ,  2KDZX69SAS8XOZRP ,  " " ),
( "ESZE2ZOHR9" ,  U02Y8N06OSXBUFVF ,  " " ),
( "YXTYU7YUAP" ,  BX41383KFBDM82QS ,  " " ),
( "0OFRXK2FEZ" ,  P9W504ZVBYZ0GT18 ,  " " ),
( "JAMVGRWL4X" ,  LC4PXEXRL9SY4U4S ,  " " ),
( "1DL8TVS7QA" ,  B5F2LZLGB7VQ1OBR ,  " " ),
( "XJN0MOOVKR" ,  WJ0LL12H0IWGE4VX ,  " " ),
( "35QZ88LFPP" ,  D1PSIM3H71I7YE8L ,  " " ),
( "MER5A8580T" ,  LIWTH1AHGYDJASYC ,  " " ),
( "JWSKRZOA3U" ,  2KDZX69SAS8XOZRP ,  " " ),
( "Y65G83HP7M" ,  FGU7EBGWH2D15VYW ,  " " ),
( "V4OCIAJTH3" ,  2SB2FBQS42BOO9HQ ,  " " ),
( "43ML212RRX" ,  NC0YMG8ZOM5URBXG ,  " " ),
( "R72JI5TS1I" ,  25BR6IBFS3FRMKL9 ,  " " ),
( "9QOHEK2E6J" ,  4TD9G0KLJ0RWS1F9 ,  " " ),
( "W37XMU23ZC" ,  58OKLSZ8U15DFBL8 ,  " " ),
( "3AZGHS7CYQ" ,  0THNKDM4FMWBL9F4 ,  " " ),
( "JFQXS3XYRE" ,  N3GX5S0JXKW7IF8D ,  " " ),
( "UR6T6O2UOC" ,  4SML25VSVPJHXYHU ,  " " ),
( "WYIJ3Y0MY9" ,  6LAZVK6E8P55WCX0 ,  " " ),
( "LJJHRYONOI" ,  G2YR2QHVM9YG2AVZ ,  " " ),
( "SBUH4GDL0Y" ,  2KDZX69SAS8XOZRP ,  " " ),
( "9I198BUWIV" ,  U2KFZIP73DJ8A4QS ,  " " ),
( "KOKT19C5FP" ,  T1HWKCMUUEHOHCVX ,  " " ),
( "DWM71OBO3A" ,  IXA8PKZULFB26JPH ,  " " ),
( "XREZJHEUHH" ,  1C6VH26Y08RWP4F4 ,  " " ),
( "ROT3GNEQJB" ,  7U7E1LS9FPPH8LF7 ,  " " ),
( "5BW61YJ8SU" ,  UH9LZUSZUFM1YECW ,  " " ),
( "UYPDV7WRYO" ,  IM1500MTK8V2MHKO ,  " " ),
( "0G7RKV5A18" ,  V9BLWJZMTPNQJWRK ,  " " ),
( "5IWUP97CBN" ,  6MV4QNV44HZU0KTW ,  " " ),
( "A47ZR6HEHC" ,  9RCJ2WNRXLGOE4RG ,  " " ),
( "Z994CT08SV" ,  MM3KKLSJDL3L5STJ ,  " " ),
( "YL4UFEP53D" ,  9RCJ2WNRXLGOE4RG ,  " " ),
( "RMTY2IRPV6" ,  H0T43WT4077NZRO1 ,  " " ),
( "BAETJC8TCT" ,  CP47RTR9BAV3NO0H ,  " " ),
( "8S21MNX72S" ,  Q7320A3R7A6XK1YT ,  " " ),
( "AYJK4J9NRU" ,  5AB0WITAOQAAJ4BT ,  " " ),
( "NIKQ76E2EC" ,  5AB0WITAOQAAJ4BT ,  " " ),
( "40IPKNTEAS" ,  OWLO1ZHKYLS1C1ZD ,  " " ),
( "P06O54QCBS" ,  DE62HKF3TPH3BEGZ ,  " " ),
( "QDAEHXN1JT" ,  PBJSRW7T3PVS08DZ ,  " " ),
( "TCBV1L8OTU" ,  IM1500MTK8V2MHKO ,  " " ),
( "F84XOHWKPR" ,  U2KFZIP73DJ8A4QS ,  " " ),
( "T9IUT5MOQQ" ,  LPPJVD84TEY2N3FB ,  " " ),
( "Y39P9VMPVM" ,  FL03D97HLPCJW3A3 ,  " " ),
( "ZUHQQLPSOG" ,  J3A5JSZ933Q7YWPH ,  " " ),
( "XKJP3V5HLN" ,  CIC81RV5U91D4TTN ,  " " ),
( "YURTT0E1GI" ,  NG5VKC0036EUR0PL ,  " " ),
( "20C9F8ESBZ" ,  VK2SGEFJH1RT0V2P ,  " " ),
( "1IOD4Y64AC" ,  6MV4QNV44HZU0KTW ,  " " ),
( "1W86RXXT1U" ,  6O9WL1YJZ21QGWA1 ,  " " ),
( "4YJ0B74HNN" ,  OWLO1ZHKYLS1C1ZD ,  " " ),
( "BJ3OWF5K1H" ,  2CTKC5MPQVQX5FXB ,  " " ),
( "3MBIM3CGUQ" ,  25BR6IBFS3FRMKL9 ,  " " ),
( "O0O2TMRRAK" ,  HRX5CA46WJPYYPJK ,  " " ),
( "B2RQCS6SEI" ,  0ZBFNXX8IOKCP216 ,  " " ),
( "XWZRF6TFO8" ,  J7TF38KWXZ3FLJ7F ,  " " ),
( "45DI7S78ET" ,  91CC6KOLEWWMHFPB ,  " " ),
( "QNU1SC16HZ" ,  BDOX8U1KGXCKYGJ2 ,  " " ),
( "E3P4JEIIBK" ,  ATP9ROGPQO08N9DT ,  " " ),
( "YI20AM2C3C" ,  9SYOWNU9AAVNUG5I ,  " " ),
( "MPIYKFWLLO" ,  TAQ2H7RG7N5U8WWO ,  " " ),
( "RT9RC60YBQ" ,  BBC95UVGIGD5MZUL ,  " " ),
( "I2P2LYK2MC" ,  OS4KPWL93EWYR91S ,  " " ),
( "LFV84KZY47" ,  T0H5FUWXTUFLA1OP ,  " " ),
( "NBW0SEP5IT" ,  F3FIV7FPIE1ABOET ,  " " ),
( "9WNU51ZHX4" ,  NYVXZY3LEARPUT27 ,  " " ),
( "NXM3ENI5TY" ,  N3GX5S0JXKW7IF8D ,  " " ),
( "PSDJQ0IRIQ" ,  25BR6IBFS3FRMKL9 ,  " " ),
( "N3GZT9HPZV" ,  CP47RTR9BAV3NO0H ,  " " ),
( "2JQI0KB5O3" ,  NQHA869V8POG802X ,  " " ),
( "3NH3HATYVJ" ,  M90B3R176QYXPGLK ,  " " ),
( "TVQG89YMS9" ,  H0T43WT4077NZRO1 ,  " " ),
( "61FDVJDHEL" ,  XEPYU8XR6ESFD97W ,  " " );



INSERT INTO Giocatore(Codice_Fiscale, Nome, Cognome, Data_di_Nascita, Nazionalita) VALUES 
( "LPPJVD84TEY2N3FB" ,  "Laura" ,  "Greco" ,  "1991/01/22" ,  "Brasiliana" ),
( "MZW1AI5OZY4IS7BI" ,  "Andrea" ,  "Bianchi" ,  "1978/11/12" ,  "Austriaca" ),
( "6LAZVK6E8P55WCX0" ,  "Matteo" ,  "Mariani" ,  "1978/04/04" ,  "Francese" ),
( "U2KFZIP73DJ8A4QS" ,  "Sofia" ,  "De Luca" ,  "1992/02/06" ,  "Giapponese" ),
( "AJVR3H113LCABV5I" ,  "Alice" ,  "Mariani" ,  "1969/08/15" ,  "Australiana" ),
( "BU7WAS61HP8POUUV" ,  "Martina" ,  "Barbieri" ,  "1978/12/28" ,  "Giapponese" ),
( "EAXSYCSQPY8JBXMC" ,  "Alessio" ,  "Conti" ,  "1977/12/14" ,  "Spagnola" ),
( "2J9R9WPE1PP236HW" ,  "Giovanni" ,  "Ricci" ,  "1994/09/16" ,  "Portoghese" ),
( "1C6VH26Y08RWP4F4" ,  "Emma" ,  "Greco" ,  "1982/08/14" ,  "Statunitense" ),
( "GIZD2XONJO0WOVOW" ,  "Roberto" ,  "Greco" ,  "1984/06/14" ,  "Canadese" ),
( "7U7E1LS9FPPH8LF7" ,  "Luca" ,  "Santoro" ,  "1993/08/24" ,  "Canadese" ),
( "CP47RTR9BAV3NO0H" ,  "Elisa" ,  "Moretti" ,  "1991/04/01" ,  "Giapponese" ),
( "BX41383KFBDM82QS" ,  "Luca" ,  "Santoro" ,  "1960/02/06" ,  "Spagnola" ),
( "H0T43WT4077NZRO1" ,  "Valentina" ,  "De Luca" ,  "1975/11/23" ,  "Francese" ),
( "DI2VQMUZLF3B6PWX" ,  "Roberto" ,  "Conti" ,  "1986/12/12" ,  "Sudafricana" ),
( "IM1500MTK8V2MHKO" ,  "Alice" ,  "Santoro" ,  "1975/06/08" ,  "Statunitense" ),
( "3JI37XYD52JDJ8T0" ,  "Giulia" ,  "Costa" ,  "1995/01/12" ,  "Giapponese" ),
( "6YTYRG6IBNSACW8L" ,  "Stefano" ,  "Greco" ,  "1991/04/01" ,  "Giapponese" ),
( "ZX1LHZDS2GT93DJH" ,  "Martina" ,  "De Luca" ,  "1993/07/07" ,  "Cinese" ),
( "3WYJH94O0CH309YI" ,  "Emma" ,  "Lombardi" ,  "1960/02/06" ,  "Portoghese" ),
( "ME5VHLOOIGTOK6OX" ,  "Alice" ,  "Rossi" ,  "1991/04/01" ,  "Brasiliana" ),
( "N3GX5S0JXKW7IF8D" ,  "Emma" ,  "Ferrari" ,  "1980/06/25" ,  "Giapponese" ),
( "LVP1I83NS93IHIJF" ,  "Luca" ,  "Mancini" ,  "1975/11/23" ,  "Sudafricana" ),
( "PP5HEGIDDAR9GDNS" ,  "Chiara" ,  "Marino" ,  "1975/11/23" ,  "Portoghese" ),
( "EYYCLJAIL97HWJA8" ,  "Roberto" ,  "Conti" ,  "1986/12/12" ,  "Canadese" ),
( "7ZQYQ0KSW8Y3CPGF" ,  "Giulia" ,  "Conti" ,  "1969/08/15" ,  "Italiana" ),
( "LQK59TVD327J9XAJ" ,  "Sofia" ,  "Marino" ,  "1991/11/12" ,  "Giapponese" ),
( "VK2SGEFJH1RT0V2P" ,  "Simone" ,  "Moretti" ,  "1991/11/12" ,  "Britannica" ),
( "58OKLSZ8U15DFBL8" ,  "Sofia" ,  "Mariani" ,  "1983/04/23" ,  "Messicana" ),
( "BDOX8U1KGXCKYGJ2" ,  "Davide" ,  "Rizzo" ,  "1978/11/12" ,  "Canadese" ),
( "GZ7XGOGG1BUC7NYI" ,  "Davide" ,  "Costa" ,  "1969/08/15" ,  "Britannica" ),
( "7OI0FG01OI2C25NN" ,  "Simone" ,  "Lombardi" ,  "1968/09/21" ,  "Sudafricana" ),
( "N92ER6XB5A5L365A" ,  "Roberto" ,  "Costa" ,  "1992/01/04" ,  "Cinese" ),
( "ETV9UZDIU5NS2HKU" ,  "Elisa" ,  "Ferrari" ,  "1969/08/15" ,  "Messicana" ),
( "1BGXJXZ9YTS2PRPF" ,  "Alice" ,  "Santoro" ,  "1975/06/08" ,  "Francese" ),
( "3ZIHL7187SGGN8R1" ,  "Giulia" ,  "Mariani" ,  "1993/07/07" ,  "Italiana" ),
( "0VEES18MQY6Q2FJP" ,  "Alice" ,  "Esposito" ,  "1992/02/06" ,  "Statunitense" ),
( "UUW2BGRCPAK4A7R2" ,  "Valentina" ,  "Ricci" ,  "1977/12/14" ,  "Tedesca" ),
( "9SYOWNU9AAVNUG5I" ,  "Giulia" ,  "Ferrari" ,  "1992/05/06" ,  "Sudafricana" ),
( "WP5HZNGCTKYPN0DC" ,  "Valentina" ,  "Barbieri" ,  "1967/06/05" ,  "Brasiliana" ),
( "PBJSRW7T3PVS08DZ" ,  "Marco" ,  "De Luca" ,  "1995/01/12" ,  "Giapponese" ),
( "C3DPSJ8LZZN8WGJE" ,  "Stefano" ,  "Greco" ,  "1994/09/16" ,  "Canadese" ),
( "NYVXZY3LEARPUT27" ,  "Stefano" ,  "Greco" ,  "1992/02/06" ,  "Sudafricana" ),
( "FS7G4TOOMLEOZOLI" ,  "Martina" ,  "Moretti" ,  "1991/01/22" ,  "Spagnola" ),
( "J3A5JSZ933Q7YWPH" ,  "Andrea" ,  "Bianchi" ,  "1992/05/06" ,  "Spagnola" ),
( "6MV4QNV44HZU0KTW" ,  "Valentina" ,  "Rossi" ,  "1976/02/27" ,  "Giapponese" ),
( "NQHA869V8POG802X" ,  "Francesca" ,  "Romano" ,  "1974/05/09" ,  "Statunitense" ),
